SMILES,Name,CID,InChI,IUPAC,Status,Source
[As]#[In],Indium arsenide,91500,1S/As.In,indiganylidynearsane,0,ARE
[C-]#N.[Cu+],Copper(I) cyanide,11009,1S/CN.Cu/c1-2;/q-1;+1,copper(1+);cyanide,0,ARE
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Co+2],Dicyclopentadienylcobalt,92884,1S/2C5H5.Co/c2*1-2-4-5-3-1;/h2*1-5H;/q2*-1;+2,"cobalt(2+);cyclopenta-1,3-diene",1,ARE
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Cr+2],Bis(cyclopentadienyl)chromium,79154,1S/2C5H5.Cr/c2*1-2-4-5-3-1;/h2*1-5H;/q2*-1;+2,"chromium(2+);cyclopenta-1,3-diene",0,ARE
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],"Iron, bis(eta5-2,4-cyclopentadien-1-yl)-",7611,1S/2C5H5.Fe/c2*1-2-4-5-3-1;/h2*1-5H;/q2*-1;+2,"cyclopenta-1,3-diene;iron(2+)",0,ARE
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Ni+2],"Bis(eta5-2,4-cyclopentadien-1-yl)nickel",62390,1S/2C5H5.Ni/c2*1-2-4-5-3-1;/h2*1-5H;/q2*-1;+2,"cyclopenta-1,3-diene;nickel(2+)",0,ARE
[Cl-].[Cl-].[Ca+2],Calplus,24854,1S/Ca.2ClH/h;2*1H/q+2;;/p-2,calcium;dichloride,0,ARE
[Cl-].[Cl-].[Sn+2],Stannous chloride,24479,1S/2ClH.Sn/h2*1H;/q;;+2/p-2,dichlorotin,0,ARE
[Cl-][Pt+2]([Cl-])([Cl-])[Cl-].[NH4+].[NH4+],Diazanium;dichloroplatinum;dichloride,14574155,1S/4ClH.2H3N.Pt/h4*1H;2*1H3;/q;;;;;;+2/p-2,diazanium;dichloroplatinum;dichloride,1,ARE
[K+].[I-],Potassium iodide,4875,1S/HI.K/h1H;/q;+1/p-1,potassium;iodide,0,ARE
[N-]=[N+]=Nc1nc(NC(C)C)nc(n1)SC,Aziprotryne,3032472,"1S/C7H11N7S/c1-4(2)9-5-10-6(13-14-8)12-7(11-5)15-3/h4H,1-3H3,(H,9,10,11,12)","4-azido-6-methylsulfanyl-N-propan-2-yl-1,3,5-triazin-2-amine",1,ARE
[Na]I,Sodium iodide,5238,1S/HI.Na/h1H;/q;+1/p-1,sodium;iodide,0,ARE
[Na+].[Br-],Sodium bromide,253881,1S/BrH.Na/h1H;/q;+1/p-1,sodium;bromide,0,ARE
[NH3+]c1ccccc1.[O-][N+](=O)O,Nitric acid;phenylazanium,60196370,"1S/C6H7N.HNO3/c7-6-4-2-1-3-5-6;2-1(3)4/h1-5H,7H2;(H,2,3,4)/p+1",nitric acid;phenylazanium,0,ARE
[O-][Br](=O)=O.[Na+],Sodium bromate,23668195,"1S/BrHO3.Na/c2-1(3)4;/h(H,2,3,4);/q;+1/p-1",sodium;bromate,0,ARE
[O-][Cl](=O)(=O)=O.[K+],CID 24505,24505,"1S/ClHO4.K/c2-1(3,4)5;/h(H,2,3,4,5);/q;+1/p-1",potassium;perchlorate,0,ARE
