SMILES,Name,CID,InChI,IUPAC,Status,Source
[As],Arsenic,5359596,1S/As,arsenic,1,CCRIS
[Be],Beryllium,5460467,1S/Be,beryllium,1,CCRIS
[Be]=O,Beryllium oxide,14775,1S/Be.O,oxoberyllium,1,CCRIS
[Be+2].[OH-].[OH-],Dihydroxyberyllium,25879,1S/Be.2H2O/h;2*1H2/q+2;;/p-2,beryllium;dihydroxide,1,CCRIS
[C-]#[Si+],Silicon carbide,9863,1S/CSi/c1-2,methanidylidynesilanylium,1,CCRIS
[Cr],Chromium,23976,1S/Cr,chromium,1,CCRIS
[Fe].[Ni],"Iron alloy, Fe,Ni",10080372,1S/Fe.Ni,iron;nickel,0,CCRIS
[Ga]#[As],Gallium arsenide,14770,1S/As.Ga,gallanylidynearsane,1,CCRIS
[Mg+2].[OH-].[OH-],Magnesium hydroxide,14791,1S/Mg.2H2O/h;2*1H2/q+2;;/p-2,magnesium;dihydroxide,1,CCRIS
[Ni]#[As],Nickel arsenide (NiAs),62391,1S/As.Ni,arsanylidynenickel,1,CCRIS
[Ni]#[Sb],Breithauptite,61553,1S/Ni.Sb,stibanylidynenickel,1,CCRIS
[Ni]=[Se],Nickel selenide,62394,1S/Ni.Se,selanylidenenickel,1,CCRIS
[Ni]=[Te],Nickel telluride,62780,1S/Ni.Te,tellanylidenenickel,1,CCRIS
[Ni]=S.[Ni]=S.[Ni],Nickel;sulfanylidenenickel,4251231,1S/3Ni.2S,nickel;sulfanylidenenickel,1,CCRIS
[Ni+2].[OH-].[OH-],Nickel hydroxide,61534,1S/Ni.2H2O/h;2*1H2/q+2;;/p-2,nickel(2+);dihydroxide,1,CCRIS
[O-][As](=O)(O)[O-].[Na+].[Na+],Disodium arsenate,24500,"1S/AsH3O4.2Na/c2-1(3,4)5;;/h(H3,2,3,4,5);;/q;2*+1/p-2",disodium;hydrogen arsorate,0,CCRIS
[O-][Cr](=O)(=O)[O-].[Ca+2],Calcium chromate,26264,1S/Ca.Cr.4O/q+2;;;;2*-1,calcium;dioxido(dioxo)chromium,1,CCRIS
[O-][Cr](=O)(=O)[O-].[Ni+2],Nickel chromate,61767,1S/Cr.Ni.4O/q;+2;;;2*-1,dioxido(dioxo)chromium;nickel(2+),0,CCRIS
[O-][Cr](=O)(=O)[O-].[O-][Cr](=O)(=O)[O-].[O-][Cr](=O)(=O)[O-].[Cr+3].[Cr+3],Chromic chromate,32520,1S/5Cr.12O/q;;;2*+3;;;;;;;6*-1,chromium(3+);dioxido(dioxo)chromium,1,CCRIS
[O-][Cr](=O)(=O)[O-].[Pb+2],Lead chromate,24460,1S/Cr.4O.Pb/q;;;2*-1;+2,dioxido(dioxo)chromium;lead(2+),1,CCRIS
